date,value
Tue Mar 13 2018 17:50:28 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:28 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:29 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:29 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:30 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:30 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:31 GMT-0500 (EST),478
Tue Mar 13 2018 17:50:31 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:32 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:32 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:33 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:33 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:34 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:34 GMT-0500 (EST),478
Tue Mar 13 2018 17:50:35 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:35 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:36 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:36 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:37 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:37 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:38 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:38 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:39 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:39 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:40 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:40 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:41 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:41 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:42 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:42 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:44 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:43 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:43 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:44 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:45 GMT-0500 (EST),478
Tue Mar 13 2018 17:50:45 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:46 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:46 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:47 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:47 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:49 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:48 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:48 GMT-0500 (EST),477
Tue Mar 13 2018 17:50:49 GMT-0500 (EST),477
